[1751959752] Tech 1 finished job 1 for Alice            | weld | pri 2 | dur 10s | cost ₹77.00 | wait 0s | run 10s
[1751959758] Tech 3 finished job 3 for Charlie          | drill | pri 1 | dur 14s | cost ₹85.80 | wait 0s | run 14s
[1751959759] Tech 2 finished job 2 for Bob              | paint | pri 5 | dur 16s | cost ₹90.20 | wait 0s | run 16s
[1751959767] Tech 1 finished job 4 for David            | cut | pri 3 | dur 15s | cost ₹88.00 | wait 7s | run 15s
[1751959775] Tech 3 finished job 5 for Eva              | lathe | pri 4 | dur 17s | cost ₹92.40 | wait 12s | run 17s
[1751960024] Tech 2 finished job 1 for Alice            | weld | pri 2 | dur 10s | cost ₹77.00 | wait 0s | run 10s
[1751960030] Tech 3 finished job 3 for Charlie          | drill | pri 1 | dur 14s | cost ₹85.80 | wait 0s | run 14s
[1751960031] Tech 1 finished job 2 for Bob              | paint | pri 5 | dur 16s | cost ₹90.20 | wait 0s | run 16s
[1751960039] Tech 2 finished job 4 for David            | cut | pri 3 | dur 15s | cost ₹88.00 | wait 7s | run 15s
[1751960047] Tech 3 finished job 5 for Eva              | lathe | pri 4 | dur 17s | cost ₹92.40 | wait 12s | run 17s
[1752012142] Tech 2 finished job 1 for Alice            | weld | pri 2 | dur 10s | cost ₹77.00 | wait 0s | run 10s
[1752012148] Tech 3 finished job 3 for Charlie          | drill | pri 1 | dur 14s | cost ₹85.80 | wait 0s | run 14s
[1752012149] Tech 1 finished job 2 for Bob              | paint | pri 5 | dur 16s | cost ₹90.20 | wait 0s | run 16s
[1752012157] Tech 2 finished job 4 for David            | cut | pri 3 | dur 15s | cost ₹88.00 | wait 7s | run 15s
[1752012165] Tech 3 finished job 5 for Eva              | lathe | pri 4 | dur 17s | cost ₹92.40 | wait 12s | run 17s
[1752013296] Tech 2 finished job 1 for Alice            | weld | pri 2 | dur 10s | cost ₹77.00 | wait 0s | run 10s
[1752013302] Tech 3 finished job 3 for Charlie          | drill | pri 1 | dur 14s | cost ₹85.80 | wait 0s | run 14s
[1752013303] Tech 1 finished job 2 for Bob              | paint | pri 5 | dur 16s | cost ₹90.20 | wait 0s | run 16s
[1752013311] Tech 2 finished job 4 for David            | cut | pri 3 | dur 15s | cost ₹88.00 | wait 7s | run 15s
[1752013319] Tech 3 finished job 5 for Eva              | lathe | pri 4 | dur 17s | cost ₹92.40 | wait 12s | run 17s
